userid,label,ff,inf,type1,type2,type3,times,,,,,,,,,,,
1502026416,0,1.5933014354067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2492782375,0,1.46827794561934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293212315,0,1.06586826347305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191839658,0,0.436638506002668,1.13109243697479,0.369565217391304,0.339130434782609,0.291304347826087,0,0,0,0,0,0,1,1,1,1,1,1
3020965143,0,3.63636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2157382005,0,1.66199376947041,1.45342312008979,0.275425038639876,0.199381761978362,0.525193199381762,1,1,1,1,0,0,0,0,1,1,1,1
1947320929,0,1.91850431447747,1.74615384615385,0.040944881889764,0.881889763779527,0.077165354330709,1,1,1,1,1,1,0,0,0,0,1,1
255846106,0,0.211743772241993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733095801,0,0.760355029585799,0.372036962635597,0.773702207025179,0.151072427727697,0.075225365247125,0,0,0,0,0,0,1,1,1,1,1,1
1336097480,0,0.803317535545024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380322177,0,0.824404761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32988810,0,0.969957081545064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21959183,0,1.07593637762955,3.39721627408994,0.582475834112878,0.222949797318366,0.194574368568756,1,1,1,1,0,0,0,0,0,1,1,1
1553611423,0,0.797794117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348080571,0,4.41176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839690880,0,0.298908480268682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143687056,0,0.999234986612266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291421004,0,1.4249547920434,0.263408820023838,0.263091878331765,0.228284728755096,0.508623392913139,0,0,0,1,1,0,0,1,1,1,1,0
2337494094,0,0.745535714285714,2.13333333333333,0.882352941176471,0.029411764705882,0.088235294117647,1,0,0,0,0,0,0,0,0,1,1,1
225241810,0,1.07236842105263,0.244755244755245,0.606327462491846,0.32648401826484,0.067188519243314,1,1,1,1,1,0,0,0,0,0,1,1
375114767,0,0.100050530570995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52929021,0,0.603985056039851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657000316,0,0.708920187793427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325967359,0,0.04142502071251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585912212,0,0.736238532110092,2.57344854673998,0.396820448877805,0.407730673316708,0.195448877805486,1,0,0,0,0,0,0,0,1,1,1,1
2419936286,0,0.047089601046436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320414572,0,0.644808743169399,0.393421052631579,0.645161290322581,0.117147707979626,0.237691001697793,0,0,1,1,0,1,1,1,0,0,0,0
262531823,0,0.223207008964955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226315121,0,0.997142857142857,0.717708333333333,0.303221730890714,0.551800379027164,0.144977890082123,0,0,0,0,0,1,1,1,1,1,1,1
492649414,0,0.039889958734526,0.021481243988458,0.962357297130515,0.037642702869485,0,0,0,0,0,0,0,0,1,1,0,1,0
56554591,0,0.759090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85193539,0,0.741734248284467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166211662,0,0.602941176470588,0.570477247502775,0.558586484810911,0.119962802231866,0.321450712957223,1,1,0,0,0,0,0,0,1,1,1,1
222290847,0,8.36363636363636,0.023255813953488,0.796296296296296,0.018518518518519,0.185185185185185,0,1,0,0,0,0,0,0,1,1,1,0
2765166293,0,1.62637362637363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497379616,0,2.21428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69991603,0,1.02631578947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357747403,0,1.11538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430285181,0,0.753776435045317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141299306,0,0.774309723889556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37407255,0,0.054585152838428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112295272,0,0.148997134670487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208664282,0,0.520725388601036,0.675716440422323,0.415804327375353,0.346817184070241,0.237378488554406,0,0,0,1,1,1,1,1,1,1,0,0
348393966,0,0.655440414507772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245621752,0,0.341274689472612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329481796,0,2.4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131043638,0,1.13793103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150183040,0,1.116,1.17549457562221,0.491068630523347,0.100282043246631,0.408649326230022,0,1,1,1,0,0,0,0,1,1,1,0
91287122,0,0.859799713876967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244762307,0,1.79885057471264,0.227272727272727,0.989417989417989,0,0.010582010582011,0,0,1,0,1,1,1,0,0,0,0,0
344457551,0,0.795550847457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360378178,0,0.951219512195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398467095,0,0.717741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400711853,0,1.06234866828087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32494880,0,0.945705024311183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362812823,0,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509255384,0,1.13223140495868,0.530553558590942,0.440189873417722,0.429113924050633,0.130696202531646,0,0,0,0,1,1,1,1,1,1,1,1
86565348,0,0.952924393723252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250207934,0,0.672881355932203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238040058,0,2.69637883008357,0.719065656565657,0.494690818238601,0.247657713928794,0.257651467832605,1,1,1,0,0,0,0,0,1,1,1,1
476876406,0,0.294807370184255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190345460,0,0.854014598540146,0.333816425120773,0.654856058209427,0.036380892122746,0.308763049667827,0,0,0,0,0,0,1,1,1,1,1,1
1376257824,0,2.4620253164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714550385,0,0.537190082644628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474152548,0,1.15964125560538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373517728,0,1.11747851002865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177906959,0,4.1063829787234,0.225454545454545,0.652431791221827,0.132858837485172,0.214709371293001,0,0,1,1,1,0,1,1,1,0,0,0
2248762537,0,0.478813559322034,1.30924855491329,0.322962041070317,0.347853142501556,0.329184816428127,0,0,0,0,0,1,0,1,1,1,1,0
462534253,0,1.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93941188,0,0.791666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22437394,0,0.128272251308901,0.920110192837466,0.453325007805183,0.27224477052763,0.274430221667187,1,1,0,0,0,0,0,0,1,1,1,1
1195136336,0,1.00816326530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956659528,0,1.49645390070922,2.01407407407407,0.427621159328476,0.363319607222046,0.209059233449477,1,1,1,0,0,0,0,1,1,1,1,1
1175224910,0,0.306791569086651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578904059,0,0.289838337182448,0.143376280145358,0.94181705040448,0.009023024268824,0.049159925326696,0,0,0,1,1,1,0,0,0,0,1,0
454183646,0,0.433915211970075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318040219,0,0.905750798722045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558782771,0,1.48275862068966,0.273367778299671,0.674374406081723,0.205258156477669,0.120367437440608,1,1,1,1,0,0,0,0,0,1,0,0
1425572605,0,0.893805309734513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103668192,0,0.696296296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50034798,0,3.35198555956679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2574200442,0,0.842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53114456,0,0.28361581920904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495594020,0,0.911917098445596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1387377110,0,1.14901960784314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892545526,0,0.72027972027972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
